location,artistFirstName,artistLastName,YEAR
1731 E. Chase St.,Jennifer,Rattigan,2004
N. Patterson Park Ave. and N. Gay St.,Lyle,Kissack,2004
1103 Brentwood Ave.,Gary,Mullen,2000
N. Patterson Park Ave. and N. Gay St.,Alexander,Martray,2004
711 N. Carey St.,Deborah,English,1989
141 S. Central Ave.,Donna,McCullough,1989
1611 Carey St.,Pontella,Mason,1990
2229 1/2 W. Pratt St.,James,Voshell,1990
400 N. Pulaski St.,Archie,Veale,1994
2324 McElderry St.,Patrick,Jacobson,1995
401E. Lorraine St.,Erik,Warren,1996
900 N. Bond St.,Archie,Veale,1998
343 Scott St.,Mary,Carfagno Ferguson,1999
2124 Mura St.,Charles,Lawrence,2000
1115 Hollins St.,Espi and Jennifer,Frazier and Rattigan,2003
Baltimore Farmer's Market - Holliday and Saratoga Streets,Bill,Remington,2006
2424 McElderry Street,Pontella,Mason,2007
Baltimore Farmer's Market - Holliday and Saratoga Streets,Donald ,Tyson,2008
519 S. Highland Street,Joel,Bergner,2008
2439 Charles Street,Greg ,Gannon,2011
1620 Bush St.,Shawn,James and Mural Masters,2004
2009 Annapolis Road,Lyle ,Kissack,2011
Key Highway under I95,Michael,Kirby,2005
"1200 Hollins Street, Hollins Market Parking Lot",Chevelle M.,Moore Jones,1988
1339 E. North Ave.,Tom,Miller,1991
5801 Reisterstown Rd.,James,Voshell,1991
1339 E. North Ave.,Tom,Miller,1992
Russell and Hamburg Sts.,Unknown,Wyland,1993
905 Lemmon Street,John,Ellsberry,1994
1000 N. Patterson Park Ave.,Lyle and Gerald,Kissack and Ross,1997
1756 E. Preston St.,Mary,Carfagno Ferguson,1998
James St. near Ramsey St.,Tony,Shore and Area skateboarders,2000
Baltimore Farmer's Market - Holliday and Saratoga Streets,Laura Lynn,Emberson,2006
27th and Greenmount,Cindy and Lyle,Garcia and Kissack,2006
3801 Eastern Avenue,Michael,Kirby,2006
Baltimore Farmer's Market - Holliday and Saratoga Streets,Michelle,Santos,2007
601 E. 33rd Street,Michael,Owens,2008
436 W. Lafayette Street,Joel,Bergner,2011
592 Presstman Street,Lyle ,Kissack,2007
5700 York Rd.,Antonio,Rodriquez,1991
2000 E. Pratt St.,Mary,Carfagno Ferguson,1994
2009 Annapolis Rd.,Patricia,Stoakley,1995
886 Washington Blvd.,Mary,Carfagno Ferguson,1996
2117  E. North Ave.,Pontella,Mason,1997
1219 Bayard St.,Mary,Carfagno Ferguson,1998
600 Cherry Hill Rd.,Tom,Miller,1998
4004 Frederick Ave.,Lyle,Kissack,2000
1601 N. Calhoun St.,Benari,Stewart and Urban Xperience,2005
Baltimore Farmer's Market - Holliday and Saratoga Streets,Guy,Jones,2006
Baltimore Farmer's Market - Holliday and Saratoga Streets,Charles ,Lawrence,2006
"1398 Mt Royal Avenue, Midtown Academy (interior)",Shawn,James,2007
"3030 Jefferson Street, Elwood Park",Mark,Selby,2009
401 Whitridge Street,Lyle,Kissack,2010
"700 N. Calhoun Street, Harlem Park Recreation Center",John ,Marra,2010
1940 Druid Hill Avenue,Michelle ,Santos,2011
1137 Harford Road,Jessie ,Unterhalter,2011
Baltimore Farmer's Market - Holliday and Saratoga Streets,Brooks,Todd,2007
450 E. 22nd St.,Lyle,Kissack,1999
Wicomico and Bayard Sts.,Shawn,James and Mural Masters,2004
903 N. Stricker St.,Pontella,Mason,1994
Ramsay and Cross Sts.,John,Ellsberry,1998
801 McCulloh St.,Gary,Mullen,1999
North Ave and Harford Road,Spoon and Dan,Popkin and Van Allen,2003
1928 Pennsylvania Avenue (mosaic),Julie and Leslie,Stovall and Furlong,2003
Baltimore Farmer's Market - Holliday and Saratoga Streets,Gary,Mullen,2006
Baltimore Farmer's Market - Holliday and Saratoga Streets,Nicolas ,Tolls,2006
Baltimore Farmer's Market - Holliday and Saratoga Streets,Ernie,Shaw,2007
Baltimore Farmer's Market - Holliday and Saratoga Streets,Joel,Bergner,2008
"Herring Run Park, off Harford Road at Argonne",Charles,Lawrence,2008
"2710 E. Hoffman Street, Fort Worthington Rec Center",Tom,Clayton,2009
221 Pulaski Street,Michelle,Santos,2010
601 E. 33rd Street,Danamarie,Hosler,2008
3424 Elm Avenue,Charles,Lawrence,2011
4501 Curtis Avenue,Peggy,Ward,2005
Greenmount Ave. and Venerable Ave.,Robert,Heironimus,1996
W. Ostend and James Sts.,Mary and Terry,Carfagno Ferguson and Van Tassell,1999
2300 Washington Boulevard,Chris,Peters,2011
Ramsey and Monroe Sts.,Mary,Carfagno Ferguson,1997
765 W. Cross St.,Patrick,Jacobson,1999
N. Stricker and W. Franklin Sts.,Gary,Mullen with Community Youth,2001
1800 block Hanover St,Jennifer,Rattigan and MICA CAP Program,2003
Baltimore Farmer's Market - Holliday and Saratoga Streets,Danamarie,Hosler,2007
Baltimore Farmer's Market - Holliday and Saratoga Streets,Gary,Mullen,2007
601 E. 33rd Street,Gary ,Mullen,2008
529 E. 21st Street,Danamarie,Hosler,2008
330 W. Lafayette Street,Josh,Van Horne,2010
1818 W. Fayette Street,Augustina,Droze,2010
3313 Greenmount Avenue,Tom,Chalkley,2010
3120 Erdman Avenue,Paul ,Bertholet,2011
33rd and Greenmount Avenue,"Ernie, Charles and Donald","Shaw, Lawrence and Tyson",2008
210 Guilford Street ,Danamarie,Hosler,2007
"1327 Washington Boulevard, Barrister School (interior)",Charles and Donald,Carroll and Tyson,2006
711 Poplar Grove,Robbie,Woodside,1987
1740 Druid Hill Ave.,Tom,Miller and MICA,2000
503 Oldham St.,"Shawn, Xenofon, et al","McRaney, Kohilas, Konsalas, Perrelli, Cavocos",2004
323 E. 20th St.,Lyle,Kissack,2005
North and Harford Rds.,Tom,Miller,1996
1170 Carroll St.,Shawn,James,1999
2174 Hollins St.,Ernest,Shaw,1999
837 Washington Blvd.,"Tony, Shawn","Shore, James, Access Art",2004
Baltimore Farmer's Market - Holliday and Saratoga Streets,Danamarie,Hosler,2006
610 S. Broadway,Shawn,James,2006
Baltimore Farmer's Market - Holliday and Saratoga Streets,Alisha,Marchewka,2007
Baltimore Farmer's Market - Holliday and Saratoga Streets,Jennifer,Rattigan,2007
Baltimore Farmer's Market - Holliday and Saratoga Streets,Seth,Goodman,2008
Baltimore Farmer's Market - Holliday and Saratoga Streets,Spoon ,Popkin,2008
114 Hamburg Street,Charles ,Lawrence,2008
1400 North Avenue (Court Building parking lot),Spoon,Popkin,2008
759 Washington Boulevard,Augustina,Droze,2009
210 E. 22nd Street,A,Adams,2010
600 Cherry Hill Rd.,Tom,Miller,1987
2222 Druid Park Dr.,Camillia,Blackwell,1987
106 S. Calverton St.,Ernest,Shaw,2000
1207 E. North Ave.,Ernest,Shaw,2000
Ashton and Smallwood Sts.,Jay Wolf Schlossberg,Cohen and Community Youth,2000
N. Duncan and McElderry Streets,,MICA and HEBCAC,2002
900 Ostend St.,Tony,Shore,2000
600 W. 28th St.,John,Ellsberry,1987
Ashland Ave. and N. Washington St.,Stephanie,Garmey,1988
2310 Harford Rd.,George,Ferrandi,1990
4000 Reistertown Rd.,Quentin,Mosley,1990
North and Park Aves.,Bonnie,Bonnell,1992
500 N. Howard St.,John,Ellsberry,1992
115 S. Carey St.,Jenny,Merker,1993
1425 Mulberry Street,Aleks,Martray,2006
Baltimore Farmer's Market - Holliday and Saratoga Streets,Pontella ,Mason,2007
3301 Belair Road,Charles,Lawrence,2007
"3900 Bel Air Road, Movie Shed",Emily,CD,2008
540 Lakewood Street,Gary ,Mullen,2008
529 S. Broadway,Nelson,Rivas,2008
1400 Greenmount Avenue,Archie,Veale,2009
4337 Park Heights,Danamarie,Hosler,2009
528 Benninghaus Street,Lyle,Kissack,2009
2798 The Alemeda,Lyle and Brian,Kissack and Probst,2009
416 Monroe Street,Sunny ,Miller,2011
601 E. 33rd Street,Nelson,Rivas,2008
3500 Hillen Rd.,John,Ford,1987
38 E. Cross St.,Ray,Ridenour,1999
1224 W. Lombard St.,Helen,Glazer,1993
910 W. Pratt St.,John,Ellsberry,1994
1644 E. Pratt St.,Mary,Carfagno Ferguson,2000
Baltimore Farmer's Market - Holliday and Saratoga Streets,Bill,Remington,2007
Baltimore Farmer's Market - Holliday and Saratoga Streets,John,Marra,2009
1617 N. Calvert St.,Charles,Lawrance,1994
4000 Park Heights Ave.,Lyle and Gerald,Kissack and Ross,1995
Cathedral and Centre Sts.,Mary Carfagno,Ferguson and women of My Sister's Place,1997
1301 Woodbourne Ave.,Jeffrey,Cook,1998
801 McCulloh St.,Kylis,Winborne,1999
412 S. Broadway,Eric,Monastario,2000
1904 McCulloh St.,Lyle,Kissack,2001
325 N. Fulton Ave.,Lyle,Kissack and MICA Community Arts Partnerships,2004
200 N. Bentalou St.,Benari,Stewart and Urban Experience,2004
Baltimore Farmer's Market - Holliday and Saratoga Streets,Kien,Nyugen,2006
Baltimore Farmer's Market - Holliday and Saratoga Streets,Michael,Owens,2006
929 W. 36th Street,Jennifer,Ratigan,2006
Baltimore Farmer's Market - Holliday and Saratoga Streets,Chris,Gregorek,2007
Baltimore Farmer's Market - Holliday and Saratoga Streets,Michael,Kirby,2007
Baltimore Farmer's Market - Holliday and Saratoga Streets,Stephanie,Leung,2007
2043 Pennsylvania Avenue,Donald ,Tyson,2008
"1530 N. Bentalou Street, Easterwood Recreation Center",Michelle,Santos,2008
4100 Eastern Avenue,Michael,Owens,2009
"2410 Tolley Street, Morrell Park",Chris,Peters and Access Art,2010
1503 Durham Street,Donald ,Tyson,2011
Baltimore Farmer's Market - Holliday and Saratoga Streets,Nelson,Rivas,2009
2900 Barclay Street (Mosaic),Tamara and Natalie,Payne and Kossack,2011
Howard and Franklin Sts.,"Derek, Archie, Nichole?","Arnold, Veale, Gray, Mason, Waters-Eller",1995
