,lon,lat,address
1,-76.59295,39.3031,"1731 e chase st, baltimore, md 21213, usa"
2,-76.58588,39.31098,"n gay st & patterson park avenue, baltimore, md 21213, usa"
3,-76.60932,39.30295,"1103 brentwood ave, baltimore, md 21202, usa"
4,-76.58588,39.31098,"n gay st & patterson park avenue, baltimore, md 21213, usa"
5,-76.63831,39.29704,"711 n carey st, baltimore, md 21217, usa"
6,-76.59917,39.28934,"141 s central ave, baltimore, md 21202, usa"
7,-76.64142,39.30774,"1611 n carey st, baltimore, md 21217, usa"
8,-76.61707,39.28519,"1 w pratt st, baltimore, md 21201, usa"
9,-76.65008,39.29506,"400 n pulaski st, baltimore, md 21223, usa"
10,-76.58426,39.29791,"2324 mcelderry st, baltimore, md 21205, usa"
11,-76.61098,39.31994,"401 e lorraine ave, baltimore, md 21218, usa"
12,-76.59634,39.30047,"900 n bond st, baltimore, md 21205, usa"
13,-76.62864,39.28389,"343 scott st, baltimore, md 21230, usa"
14,-76.58734,39.30525,"2124 mura st, baltimore, md 21213, usa"
15,-76.63576,39.28725,"1115 hollins st, baltimore, md 21223, usa"
16,-76.61082,39.29308,"e saratoga st & holliday st, baltimore, md 21202, usa"
17,-76.58284,39.29793,"2424 mcelderry st, baltimore, md 21205, usa"
18,-76.61082,39.29308,"e saratoga st & holliday st, baltimore, md 21202, usa"
19,-76.56898,39.28587,"519 s highland ave, baltimore, md 21224, usa"
20,-76.61673,39.31747,"2439 n charles st, baltimore, md 21218, usa"
21,-76.63355,39.27397,"1620 bush st, baltimore, md 21230, usa"
22,-76.63144,39.26671,"2009 annapolis rd, baltimore, md 21230, usa"
23,NA,NA,NA
24,-76.62134,39.28542,"401 w pratt st, baltimore, md 21201, usa"
25,-76.59965,39.3117,"1339 e north ave, baltimore, md 21213, usa"
26,-76.69413,39.35096,"5801 reisterstown rd, baltimore, md 21215, usa"
27,-76.59965,39.3117,"1339 e north ave, baltimore, md 21213, usa"
28,-76.62377,39.27977,"russell st & w hamburg st, baltimore, md 21230, usa"
29,-76.63247,39.2862,"905 lemmon st, baltimore, md 21223, usa"
30,-76.58556,39.30248,"1000 n patterson park ave, baltimore, md 21205, usa"
31,-76.59274,39.30562,"1756 e preston st, baltimore, md 21213, usa"
32,NA,NA,NA
33,-76.61082,39.29308,"e saratoga st & holliday st, baltimore, md 21202, usa"
34,-76.60946,39.32091,"md-45 & e 27th st, baltimore, md 21218, usa"
35,-76.5647,39.286,"3801 eastern ave, baltimore, md 21224, usa"
36,-76.61082,39.29308,"e saratoga st & holliday st, baltimore, md 21202, usa"
37,-76.608,39.32781,"601 e 33rd st, baltimore, md 21218, usa"
38,-76.62849,39.30357,"436 w lafayette ave, baltimore, md 21217, usa"
39,-76.63753,39.30612,"592 presstman st, baltimore, md 21217, usa"
40,-76.61032,39.35945,"5700 york rd, baltimore, md 21212, usa"
41,-76.58884,39.28965,"2000 e pratt st, baltimore, md 21231, usa"
42,-76.63144,39.26671,"2009 annapolis rd, baltimore, md 21230, usa"
43,-76.63096,39.283,"886 washington blvd, baltimore, md 21230, usa"
44,-76.58814,39.31218,"2117 e north ave, baltimore, md 21213, usa"
45,-76.63588,39.2792,"1219 bayard st, baltimore, md 21230, usa"
46,-76.62229,39.25043,"600 cherry hill rd, baltimore, md 21225, usa"
47,-76.68228,39.28176,"4004 frederick ave, baltimore, md 21229, usa"
48,-76.64117,39.30637,"1601 n calhoun st, baltimore, md 21217, usa"
49,-76.61082,39.29308,"e saratoga st & holliday st, baltimore, md 21202, usa"
50,-76.61082,39.29308,"e saratoga st & holliday st, baltimore, md 21202, usa"
51,-76.62193,39.30843,"1398 w mt royal ave, baltimore, md 21217, usa"
52,-76.57418,39.29706,"3030 jefferson st, baltimore, md 21224, usa"
53,-76.61098,39.32144,"401 whitridge ave, baltimore, md 21218, usa"
54,-76.63918,39.2889,"5 n calhoun st, baltimore, md 21223, usa"
55,-76.63538,39.30721,"1940 druid hill ave, baltimore, md 21217, usa"
56,-76.60188,39.30385,"1137 harford ave, baltimore, md 21202, usa"
57,-76.61082,39.29308,"e saratoga st & holliday st, baltimore, md 21202, usa"
58,-76.60969,39.31471,"450 e 22nd st, baltimore, md 21218, usa"
59,-76.63284,39.27661,"bayard st & wicomico st, baltimore, md 21230, usa"
60,-76.64125,39.29911,"903 n stricker st, baltimore, md 21217, usa"
61,-76.63349,39.28361,"w cross st & james st, baltimore, md 21223, usa"
62,-76.62269,39.29879,"801 mcculloh st, baltimore, md 21201, usa"
63,-76.59938,39.31193,"e north ave & harford ave, baltimore, md 21213, usa"
64,-76.60728,39.28971,"power plant live!, 4 market pl, baltimore, md 21202, usa"
65,-76.61082,39.29308,"e saratoga st & holliday st, baltimore, md 21202, usa"
66,-76.61082,39.29308,"e saratoga st & holliday st, baltimore, md 21202, usa"
67,-76.61082,39.29308,"e saratoga st & holliday st, baltimore, md 21202, usa"
68,-76.61082,39.29308,"e saratoga st & holliday st, baltimore, md 21202, usa"
69,NA,NA,NA
70,-76.57837,39.3077,"2801 e oliver st, baltimore, md 21213, usa"
71,-76.64961,39.28429,"221 s pulaski st, baltimore, md 21223, usa"
72,-76.608,39.32781,"601 e 33rd st, baltimore, md 21218, usa"
73,-76.63138,39.32936,"3424 elm ave, baltimore, md 21211, usa"
74,-76.5866,39.22478,"4501 curtis ave, baltimore, md 21226, usa"
75,-76.60943,39.32922,"md-45 & venable ave, baltimore, md 21218, usa"
76,-76.63496,39.28248,"w ostend st & james st, baltimore, md 21223, usa"
77,-76.64959,39.26964,"2300 washington blvd, baltimore, md 21230, usa"
78,-76.64664,39.28315,"us-1 & ramsay st, baltimore, md 21223, usa"
79,-76.62793,39.27954,"765 w cross st, baltimore, md 21230, usa"
80,-76.64128,39.29407,"w franklin st & n stricker st, baltimore, md 21223, usa"
81,-76.61548,39.269,"1800 s hanover st, baltimore, md 21230, usa"
82,-76.61082,39.29308,"e saratoga st & holliday st, baltimore, md 21202, usa"
83,-76.61082,39.29308,"e saratoga st & holliday st, baltimore, md 21202, usa"
84,-76.608,39.32781,"601 e 33rd st, baltimore, md 21218, usa"
85,-76.60873,39.31356,"529 e 21st st, baltimore, md 21218, usa"
86,-76.62652,39.30504,"330 w lafayette ave, baltimore, md 21217, usa"
87,-76.64602,39.28974,"1818 w fayette st, baltimore, md 21223, usa"
88,-76.60915,39.32893,"3313 greenmount ave, baltimore, md 21218, usa"
89,-76.57252,39.32119,"3120 erdman ave, baltimore, md 21213, usa"
90,-76.60943,39.3285,"md-45 & e 33rd st, baltimore, md 21218, usa"
91,-76.61156,39.29184,"210 guilford ave, baltimore, md 21202, usa"
92,NA,NA,NA
93,-76.66464,39.29604,"711 poplar grove st, baltimore, md 21216, usa"
94,-76.63345,39.30569,"1740 druid hill ave, baltimore, md 21217, usa"
95,-76.55577,39.28652,"503 oldham st, baltimore, md 21224, usa"
96,-76.61164,39.31219,"323 e 20th st, baltimore, md 21218, usa"
97,-76.59938,39.31193,"e north ave & harford rd, baltimore, md 21213, usa"
98,-76.63294,39.28113,"1170 carroll st, baltimore, md 21230, usa"
99,-76.6522,39.2871,"2174 hollins st, baltimore, md 21223, usa"
100,-76.62999,39.28281,"837 washington blvd, baltimore, md 21230, usa"
101,-76.61082,39.29308,"e saratoga st & holliday st, baltimore, md 21202, usa"
102,-76.59362,39.28413,"610 s broadway, baltimore, md 21231, usa"
103,-76.61082,39.29308,"e saratoga st & holliday st, baltimore, md 21202, usa"
104,-76.61082,39.29308,"e saratoga st & holliday st, baltimore, md 21202, usa"
105,-76.61082,39.29308,"e saratoga st & holliday st, baltimore, md 21202, usa"
